elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
4611,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,27400,26968,12393,11946,15007,15022
4612,ΧΑΛΑΝΔΡΙΟΥ,77118,74192,35964,34743,41154,39449
1701,ΦΛΩΡΙΝΑΣ,29611,32881,14392,15977,15219,16904
1702,ΑΜΥΝΤΑΙΟΥ,14331,16973,7202,8608,7129,8365
1703,ΠΡΕΣΠΩΝ,1220,1560,631,765,589,795
2301,ΚΑΡΔΙΤΣΑΣ,56641,56747,27577,27766,29064,28981
2302,ΑΡΓΙΘΕΑΣ,3515,3450,1907,1811,1608,1639
2303,ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,5285,4635,2689,2288,2596,2347
2304,ΜΟΥΖΑΚΙΟΥ,11264,13122,5668,6460,5596,6662
2305,ΠΑΛΑΜΑ,13416,16726,6683,8443,6733,8283
2306,ΣΟΦΑΔΩΝ,16577,18864,8267,9370,8310,9494
6401,ΚΩ,36986,33388,19094,17322,17892,16066
6402,ΝΙΣΥΡΟΥ,1043,1008,548,543,495,465
3201,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ,65237,68558,31512,32881,33725,35677
3204,ΠΑΞΩΝ,2383,2300,1171,1159,1212,1141
3202,ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ,17455,17832,8679,8818,8776,9014
3203,ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ,14772,15681,7485,7895,7287,7786
6201,ΚΑΡΠΑΘΟΥ,6416,6226,3228,3124,3188,3102
6202,ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,1224,1084,624,550,600,534
3601,ΛΕΥΚΑΔΑΣ,21759,22652,10897,11399,10862,11253
3602,ΜΕΓΑΝΗΣΙΟΥ,914,1041,480,518,434,523
6001,ΘΗΡΑΣ,15457,15550,7789,7826,7668,7724
6002,ΑΝΑΦΗΣ,291,271,153,137,138,134
6003,ΙΗΤΩΝ,2297,2024,1188,1068,1109,956
6004,ΣΙΚΙΝΟΥ,253,273,133,138,120,135
6005,ΦΟΛΕΓΑΝΔΡΟΥ,715,765,368,402,347,363
3501,ΑΡΓΟΣΤΟΛΙΟΥ,22388,23499,11073,11606,11315,11893
3502,ΛΗΞΟΥΡΙΟΥ,7025,7098,3501,3579,3524,3519
3503,ΣΑΜΗΣ,5511,5204,2757,2649,2754,2555
6501,ΜΗΛΟΥ,5193,4977,2683,2520,2510,2457
6502,ΚΙΜΩΛΟΥ,817,910,412,475,405,435
6503,ΣΕΡΙΦΟΥ,1258,1420,659,756,599,664
6504,ΣΙΦΝΟΥ,2755,2625,1400,1324,1355,1301
2501,ΣΚΙΑΘΟΥ,5499,6088,2733,3088,2766,3000
2502,ΑΛΟΝΝΗΣΟΥ,3153,2750,1572,1447,1581,1303
2503,ΣΚΟΠΕΛΟΥ,4377,4960,2182,2423,2195,2537
2401,ΒΟΛΟΥ,138865,144449,66413,70185,72452,74264
2402,ΑΛΜΥΡΟΥ,16004,18614,7817,9267,8187,9347
2403,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,4556,5809,2317,2949,2239,2860
2404,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,8322,10216,4126,5122,4196,5094
2405,ΡΗΓΑ ΦΕΡΑΙΟΥ,8841,10922,4406,5614,4435,5308
7301,ΡΕΘΥΜΝΗΣ,55636,55525,26720,26670,28916,28855
7302,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,7194,7427,3686,3755,3508,3672
7303,ΑΜΑΡΙΟΥ,5607,5915,2897,3033,2710,2882
7304,ΑΝΩΓΕΙΩΝ,2240,2379,1111,1192,1129,1187
7305,ΜΥΛΟΠΟΤΑΜΟΥ,12890,14363,6593,7298,6297,7065
3401,ΙΘΑΚΗΣ,2774,3231,1367,1622,1407,1609
